gene_name	gene_name_	count	gene_id
5S_rRNA	0	0	ENSG00000271924
5S_rRNA	0	0	ENSG00000272351
5S_rRNA	0	0	ENSG00000201285
5S_rRNA	0	0	ENSG00000212595
5S_rRNA	0	0	ENSG00000272435
5S_rRNA	0	0	ENSG00000272253
5S_rRNA	0	0	ENSG00000261122
7SK	0	0	ENSG00000249352
7SK	0	0	ENSG00000271765
7SK	0	0	ENSG00000271814
7SK	0	0	ENSG00000254144
7SK	0	0	ENSG00000271818
7SK	0	0	ENSG00000260682
7SK	0	0	ENSG00000232512
A1BG	A1BG	1	ENSG00000121410
A1BG-AS1	A1BG-AS1	1	ENSG00000268895
A1CF	0	0	ENSG00000148584
A2M	A2M	0	ENSG00000175899
A2M-AS1	0	0	ENSG00000245105
A2ML1	A2ML1	1	ENSG00000166535
A2ML1-AS1	A2ML1-AS1	0	ENSG00000256661
A2ML1-AS2	0	0	ENSG00000256904
A2MP1	0	0	ENSG00000256069
A3GALT2	A3GALT2	1	ENSG00000184389
A4GALT	0	0	ENSG00000128274
A4GNT	0	0	ENSG00000118017
AAAS	AAAS	0	ENSG00000094914
AACS	AACS	0	ENSG00000081760
AACSP1	0	0	ENSG00000250420
AADAC	0	0	ENSG00000114771
AADACL2	AADACL2	0	ENSG00000197953
AADACL3	AADACL3	0	ENSG00000188984
AADACL4	AADACL4	2	ENSG00000204518
AADAT	0	0	ENSG00000109576
AAED1	AAED1	0	ENSG00000158122
AAGAB	0	0	ENSG00000103591
AAK1	0	0	ENSG00000115977
AAMDC	AAMDC	0	ENSG00000087884
AAMP	0	0	ENSG00000127837
AANAT	AANAT	0	ENSG00000129673
AAR2	AAR2	1	ENSG00000131043
AARD	0	0	ENSG00000205002
AARS	0	0	ENSG00000090861
AARS2	0	0	ENSG00000124608
AARSD1	AARSD1	0	ENSG00000266967
AASDH	AASDH	0	ENSG00000157426
AASDHPPT	0	0	ENSG00000149313
AASS	AASS	0	ENSG00000008311
AATF	AATF	0	ENSG00000108270
AATK	0	0	ENSG00000181409
AATK-AS1	0	0	ENSG00000225180
AB015752.3	0	0	ENSG00000254180
AB019438.66	0	0	ENSG00000228757
AB019440.1	0	0	ENSG00000221180
AB019440.50	0	0	ENSG00000271201
AB019441.29	0	0	ENSG00000225200
ABAT	0	0	ENSG00000183044
ABC12-47043100G14.2	0	0	ENSG00000237215
ABC7-42389800N19.1	0	0	ENSG00000226210
ABC7-43041300I9.1	0	0	ENSG00000271153
ABCA1	ABCA1	1	ENSG00000165029
ABCA10	ABCA10	1	ENSG00000154263
ABCA11P	ABCA11P	0	ENSG00000251595
ABCA12	ABCA12	0	ENSG00000144452
ABCA13	ABCA13	6	ENSG00000179869
ABCA17P	0	0	ENSG00000238098
ABCA2	0	0	ENSG00000107331
ABCA3	ABCA3	0	ENSG00000167972
ABCA4	ABCA4	1	ENSG00000198691
ABCA5	ABCA5	1	ENSG00000154265
ABCA6	ABCA6	0	ENSG00000154262
ABCA7	ABCA7	1	ENSG00000064687
ABCA8	ABCA8	1	ENSG00000141338
ABCA9	ABCA9	1	ENSG00000154258
ABCA9-AS1	ABCA9-AS1	0	ENSG00000231749
ABCB1	ABCB1	0	ENSG00000085563
ABCB10	ABCB10	0	ENSG00000135776
ABCB10P1	0	0	ENSG00000259689
ABCB10P3	0	0	ENSG00000261524
ABCB10P4	0	0	ENSG00000260053
ABCB11	ABCB11	0	ENSG00000073734
ABCB4	0	0	ENSG00000005471
ABCB5	ABCB5	0	ENSG00000004846
ABCB6	ABCB6	0	ENSG00000115657
ABCB7	0	0	ENSG00000131269
ABCB8	ABCB8	0	ENSG00000197150
ABCB9	ABCB9	2	ENSG00000150967
ABCC1	0	0	ENSG00000103222
ABCC10	ABCC10	0	ENSG00000124574
ABCC11	ABCC11	2	ENSG00000121270
ABCC12	ABCC12	0	ENSG00000140798
ABCC13	0	0	ENSG00000243064
ABCC2	ABCC2	4	ENSG00000023839
ABCC3	ABCC3	0	ENSG00000108846
ABCC4	ABCC4	0	ENSG00000125257
ABCC5	ABCC5	0	ENSG00000114770
ABCC5-AS1	0	0	ENSG00000223882
ABCC6	ABCC6	0	ENSG00000091262
ABCC6P1	0	0	ENSG00000256340
ABCC6P2	0	0	ENSG00000255277
ABCC8	ABCC8	1	ENSG00000006071
ABCC9	0	0	ENSG00000069431
ABCD1	0	0	ENSG00000101986
ABCD1P2	0	0	ENSG00000215151
ABCD1P3	0	0	ENSG00000261233
ABCD1P4	0	0	ENSG00000225293
ABCD1P5	0	0	ENSG00000214330
ABCD2	ABCD2	0	ENSG00000173208
ABCD3	0	0	ENSG00000117528
ABCD4	ABCD4	1	ENSG00000119688
ABCE1	0	0	ENSG00000164163
ABCF1	0	0	ENSG00000204574
ABCF2	0	0	ENSG00000033050
ABCF2P1	0	0	ENSG00000242159
ABCF2P2	0	0	ENSG00000228769
ABCF3	0	0	ENSG00000161204
ABCG1	ABCG1	0	ENSG00000160179
ABCG2	ABCG2	3	ENSG00000118777
ABCG4	0	0	ENSG00000172350
ABCG5	0	0	ENSG00000138075
ABCG8	ABCG8	0	ENSG00000143921
ABHD1	ABHD1	1	ENSG00000143994
ABHD10	ABHD10	0	ENSG00000144827
ABHD11	ABHD11	0	ENSG00000106077
ABHD12	ABHD12	0	ENSG00000100997
ABHD12B	ABHD12B	1	ENSG00000131969
ABHD13	0	0	ENSG00000139826
ABHD14A	ABHD14A	0	ENSG00000248487
ABHD14A-ACY1	ABHD14A-ACY1	0	ENSG00000114786
ABHD14B	ABHD14B	0	ENSG00000114779
ABHD15	ABHD15	0	ENSG00000168792
ABHD16A	ABHD16A	0	ENSG00000204427
ABHD16B	0	0	ENSG00000183260
ABHD17A	0	0	ENSG00000129968
ABHD17AP1	0	0	ENSG00000203835
ABHD17AP2	0	0	ENSG00000198658
ABHD17AP3	0	0	ENSG00000250536
ABHD17AP4	0	0	ENSG00000229107
ABHD17AP5	0	0	ENSG00000182502
ABHD17AP6	0	0	ENSG00000226981
ABHD17B	0	0	ENSG00000107362
ABHD17C	0	0	ENSG00000136379
ABHD2	ABHD2	0	ENSG00000140526
ABHD3	ABHD3	0	ENSG00000158201
ABHD4	ABHD4	0	ENSG00000100439
ABHD5	0	0	ENSG00000011198
ABHD6	0	0	ENSG00000163686
ABHD8	0	0	ENSG00000127220
ABI1	0	0	ENSG00000136754
ABI2	0	0	ENSG00000138443
ABI3	0	0	ENSG00000108798
ABI3BP	ABI3BP	0	ENSG00000154175
ABL1	0	0	ENSG00000097007
ABL2	ABL2	0	ENSG00000143322
ABLIM1	ABLIM1	0	ENSG00000099204
ABLIM2	0	0	ENSG00000163995
ABLIM3	ABLIM3	0	ENSG00000173210
ABO	0	0	ENSG00000175164
ABR	0	0	ENSG00000159842
ABRA	ABRA	0	ENSG00000174429
ABRACL	0	0	ENSG00000146386
ABT1	0	0	ENSG00000146109
ABT1P1	0	0	ENSG00000250496
ABTB1	ABTB1	1	ENSG00000114626
ABTB2	0	0	ENSG00000166016
AC000003.1	0	0	ENSG00000221486
AC000003.2	0	0	ENSG00000264194
AC000029.1	0	0	ENSG00000221069
AC000032.2	0	0	ENSG00000260246
AC000036.4	0	0	ENSG00000225929
AC000041.8	AC000041.8	0	ENSG00000242156
AC000067.1	0	0	ENSG00000225007
AC000068.10	0	0	ENSG00000273212
AC000068.5	0	0	ENSG00000185065
AC000068.9	0	0	ENSG00000273300
AC000077.2	0	0	ENSG00000230485
AC000078.5	0	0	ENSG00000232926
AC000081.2	0	0	ENSG00000230194
AC000089.3	0	0	ENSG00000235776
AC000095.9	0	0	ENSG00000270393
AC000099.1	0	0	ENSG00000236340
AC000110.1	0	0	ENSG00000236105
AC000111.3	0	0	ENSG00000232661
AC000111.4	0	0	ENSG00000237974
AC000111.5	0	0	ENSG00000234001
AC000111.6	AC000111.6	0	ENSG00000083622
AC000120.7	0	0	ENSG00000243107
AC000123.4	0	0	ENSG00000224138
AC000124.1	0	0	ENSG00000226770
AC000362.1	0	0	ENSG00000230820
AC000367.1	0	0	ENSG00000224981
AC000370.2	0	0	ENSG00000241921
AC000374.1	0	0	ENSG00000227249
AC000403.1	0	0	ENSG00000264908
AC002044.4	0	0	ENSG00000272330
AC002056.3	0	0	ENSG00000213683
AC002056.5	0	0	ENSG00000254499
AC002059.10	0	0	ENSG00000273216
AC002064.4	AC002064.4	0	ENSG00000234459
AC002064.5	0	0	ENSG00000225498
AC002066.1	AC002066.1	0	ENSG00000237813
AC002066.2	0	0	ENSG00000216076
AC002069.5	0	0	ENSG00000228928
AC002069.6	0	0	ENSG00000235639
AC002070.1	0	0	ENSG00000222647
AC002075.3	0	0	ENSG00000225898
AC002075.4	0	0	ENSG00000237729
AC002076.10	0	0	ENSG00000234695
AC002115.5	0	0	ENSG00000224910
AC002115.9	0	0	ENSG00000267626
AC002116.7	AC002116.7	1	ENSG00000267698
AC002116.8	0	0	ENSG00000248101
AC002117.1	0	0	ENSG00000224505
AC002127.2	0	0	ENSG00000227979
AC002127.4	0	0	ENSG00000233420
AC002128.5	0	0	ENSG00000271366
AC002306.1	0	0	ENSG00000259242
AC002310.10	0	0	ENSG00000260494
AC002310.12	0	0	ENSG00000235560
AC002310.13	AC002310.13	0	ENSG00000260869
AC002310.17	0	0	ENSG00000261588
AC002310.7	AC002310.7	0	ENSG00000239791
AC002314.4	0	0	ENSG00000267190
AC002331.1	0	0	ENSG00000236481
AC002365.1	0	0	ENSG00000234469
AC002366.3	0	0	ENSG00000232392
AC002368.4	0	0	ENSG00000237741
AC002383.2	0	0	ENSG00000227863
AC002386.1	0	0	ENSG00000230941
AC002395.1	0	0	ENSG00000266269
AC002398.11	0	0	ENSG00000267439
AC002398.12	0	0	ENSG00000267328
AC002398.13	0	0	ENSG00000267049
AC002398.5	0	0	ENSG00000225872
AC002398.9	AC002398.9	0	ENSG00000188223
AC002400.1	0	0	ENSG00000261528
AC002401.1	0	0	ENSG00000236472
AC002429.4	0	0	ENSG00000231153
AC002429.5	0	0	ENSG00000236197
AC002451.1	0	0	ENSG00000269449
AC002451.3	0	0	ENSG00000231170
AC002454.1	0	0	ENSG00000237819
AC002456.2	0	0	ENSG00000223969
AC002463.3	0	0	ENSG00000223646
AC002465.2	0	0	ENSG00000238202
AC002467.7	0	0	ENSG00000241764
AC002472.1	0	0	ENSG00000269103
AC002472.11	0	0	ENSG00000226872
AC002472.13	AC002472.13	2	ENSG00000187905
AC002477.1	0	0	ENSG00000264392
AC002480.2	0	0	ENSG00000238033
AC002480.3	0	0	ENSG00000232759
AC002480.4	0	0	ENSG00000232949
AC002480.5	0	0	ENSG00000225541
AC002485.1	0	0	ENSG00000221281
AC002486.2	0	0	ENSG00000231525
AC002486.3	0	0	ENSG00000223866
AC002511.1	0	0	ENSG00000205786
AC002511.2	0	0	ENSG00000233214
AC002511.3	0	0	ENSG00000232680
AC002519.6	0	0	ENSG00000261457
AC002519.8	0	0	ENSG00000259810
AC002523.1	0	0	ENSG00000242186
AC002539.1	0	0	ENSG00000230258
AC002539.2	0	0	ENSG00000252100
AC002542.2	0	0	ENSG00000227532
AC002543.2	0	0	ENSG00000235945
AC002550.5	0	0	ENSG00000261312
AC002551.1	0	0	ENSG00000261736
AC002553.1	AC002553.1	0	ENSG00000227782
AC002553.4	0	0	ENSG00000233979
AC002558.1	0	0	ENSG00000221016
AC002978.1	0	0	ENSG00000221259
AC002979.1	0	0	ENSG00000221386
AC002981.1	0	0	ENSG00000252111
AC002984.2	0	0	ENSG00000267005
AC002985.3	AC002985.3	0	ENSG00000268193
AC002992.1	0	0	ENSG00000252586
AC002994.1	0	0	ENSG00000196861
AC003001.1	0	0	ENSG00000264517
AC003002.4	AC003002.4	0	ENSG00000268133
AC003002.6	AC003002.6	0	ENSG00000269533
AC003003.5	0	0	ENSG00000188477
AC003005.2	0	0	ENSG00000268266
AC003005.4	AC003005.4	1	ENSG00000268107
AC003006.1	0	0	ENSG00000264453
AC003006.7	AC003006.7	2	ENSG00000269026
AC003009.1	0	0	ENSG00000262011
AC003009.2	0	0	ENSG00000262235
AC003029.1	0	0	ENSG00000248594
AC003035.1	0	0	ENSG00000264331
AC003043.1	0	0	ENSG00000268413
AC003045.1	0	0	ENSG00000214684
AC003051.1	0	0	ENSG00000227517
AC003075.4	0	0	ENSG00000237773
AC003079.1	0	0	ENSG00000203505
AC003080.4	0	0	ENSG00000234358
AC003084.2	0	0	ENSG00000234826
AC003088.1	0	0	ENSG00000226965
AC003090.1	0	0	ENSG00000223561
AC003092.1	0	0	ENSG00000236453
AC003092.2	0	0	ENSG00000236938
AC003101.1	0	0	ENSG00000228768
AC003102.1	AC003102.1	0	ENSG00000214921
AC003102.3	0	0	ENSG00000267750
AC003104.1	0	0	ENSG00000236194
AC003658.1	0	0	ENSG00000221278
AC003664.1	0	0	ENSG00000234634
AC003665.1	AC003665.1	2	ENSG00000234494
AC003666.1	0	0	ENSG00000222133
AC003681.1	0	0	ENSG00000221736
AC003682.16	0	0	ENSG00000268392
AC003682.17	0	0	ENSG00000269097
AC003956.1	0	0	ENSG00000268564
AC003958.2	AC003958.2	0	ENSG00000234859
AC003958.6	0	0	ENSG00000108516
AC003968.1	0	0	ENSG00000221418
AC003973.1	0	0	ENSG00000269615
AC003973.4	0	0	ENSG00000269504
AC003973.5	0	0	ENSG00000269199
AC003973.6	0	0	ENSG00000271095
AC003984.1	0	0	ENSG00000235139
AC003985.1	0	0	ENSG00000233824
AC003986.5	0	0	ENSG00000229533
AC003986.6	0	0	ENSG00000232821
AC003986.7	0	0	ENSG00000236536
AC003988.1	0	0	ENSG00000234223
AC003989.3	0	0	ENSG00000243621
AC003989.4	0	0	ENSG00000227948
AC003991.3	AC003991.3	3	ENSG00000228113
AC004000.1	0	0	ENSG00000264952
AC004004.2	0	0	ENSG00000270317
AC004006.2	0	0	ENSG00000228711
AC004009.3	0	0	ENSG00000224322
AC004012.1	0	0	ENSG00000233942
AC004014.3	0	0	ENSG00000229603
AC004014.4	0	0	ENSG00000227968
AC004016.1	0	0	ENSG00000238976
AC004016.2	0	0	ENSG00000234999
AC004017.1	0	0	ENSG00000268948
AC004019.10	0	0	ENSG00000229492
AC004019.13	0	0	ENSG00000236754
AC004019.18	0	0	ENSG00000272675
AC004022.7	0	0	ENSG00000237160
AC004022.8	0	0	ENSG00000228751
AC004041.2	0	0	ENSG00000223442
AC004051.2	0	0	ENSG00000246774
AC004052.1	0	0	ENSG00000215999
AC004053.1	0	0	ENSG00000245384
AC004054.1	0	0	ENSG00000248984
AC004057.1	0	0	ENSG00000196656
AC004062.2	0	0	ENSG00000251312
AC004063.1	0	0	ENSG00000250670
AC004066.2	0	0	ENSG00000216425
AC004066.3	0	0	ENSG00000250522
AC004067.5	0	0	ENSG00000273447
AC004069.1	0	0	ENSG00000251473
AC004069.2	0	0	ENSG00000251259
AC004070.1	0	0	ENSG00000231110
AC004074.3	0	0	ENSG00000230311
AC004074.4	0	0	ENSG00000237014
AC004076.7	AC004076.7	0	ENSG00000268533
AC004076.9	AC004076.9	1	ENSG00000268163
AC004079.1	0	0	ENSG00000266055
AC004112.4	AC004112.4	0	ENSG00000226851
AC004112.5	0	0	ENSG00000232922
AC004112.7	0	0	ENSG00000236232
AC004125.3	0	0	ENSG00000260264
AC004129.7	0	0	ENSG00000234406
AC004129.9	0	0	ENSG00000213798
AC004156.3	0	0	ENSG00000267666
AC004158.2	0	0	ENSG00000261008
AC004158.3	0	0	ENSG00000260664
AC004159.1	0	0	ENSG00000230853
AC004160.4	0	0	ENSG00000230435
AC004166.6	0	0	ENSG00000184616
AC004221.2	0	0	ENSG00000267778
AC004231.2	AC004231.2	0	ENSG00000234477
AC004237.1	0	0	ENSG00000230612
AC004257.1	0	0	ENSG00000269635
AC004257.3	0	0	ENSG00000270143
AC004381.6	AC004381.6	0	ENSG00000005189
AC004381.7	0	0	ENSG00000260510
AC004383.3	0	0	ENSG00000226107
AC004386.3	0	0	ENSG00000226515
AC004386.4	0	0	ENSG00000213269
AC004410.3	0	0	ENSG00000273309
AC004447.2	0	0	ENSG00000269131
AC004448.2	0	0	ENSG00000227078
AC004448.5	0	0	ENSG00000235979
AC004449.6	0	0	ENSG00000261204
AC004453.8	0	0	ENSG00000146677
AC004458.1	0	0	ENSG00000238385
AC004460.1	0	0	ENSG00000221379
AC004461.4	0	0	ENSG00000237347
AC004463.6	0	0	ENSG00000260924
AC004466.1	0	0	ENSG00000268069
AC004471.10	0	0	ENSG00000272682
AC004471.9	0	0	ENSG00000223461
AC004485.3	0	0	ENSG00000228944
AC004490.1	0	0	ENSG00000267122
AC004492.1	0	0	ENSG00000221356
AC004510.3	0	0	ENSG00000267308
AC004520.1	0	0	ENSG00000266430
AC004528.1	0	0	ENSG00000269169
AC004528.4	AC004528.4	0	ENSG00000266990
AC004535.2	0	0	ENSG00000236414
AC004538.3	0	0	ENSG00000230333
AC004540.4	AC004540.4	0	ENSG00000225792
AC004540.5	0	0	ENSG00000214870
AC004543.1	0	0	ENSG00000221576
AC004543.2	0	0	ENSG00000237921
AC004549.6	0	0	ENSG00000229893
AC004552.1	0	0	ENSG00000264746
AC004562.1	0	0	ENSG00000237560
AC004593.3	0	0	ENSG00000235669
AC004595.1	0	0	ENSG00000266862
AC004603.4	0	0	ENSG00000225877
AC004623.2	0	0	ENSG00000267755
AC004637.1	0	0	ENSG00000267304
AC004655.1	0	0	ENSG00000264224
AC004656.1	0	0	ENSG00000265506
AC004673.1	0	0	ENSG00000221786
AC004691.5	0	0	ENSG00000229263
AC004692.4	0	0	ENSG00000228680
AC004692.5	0	0	ENSG00000213717
AC004699.1	0	0	ENSG00000223201
AC004702.2	AC004702.2	0	ENSG00000263494
AC004706.1	AC004706.1	0	ENSG00000256806
AC004744.3	0	0	ENSG00000226522
AC004745.1	0	0	ENSG00000221192
AC004769.1	0	0	ENSG00000263954
AC004771.1	0	0	ENSG00000203562
AC004775.5	0	0	ENSG00000272203
AC004791.2	0	0	ENSG00000267453
AC004797.1	0	0	ENSG00000229944
