gene_name	count	chrom	pos	interpro_id	interpro_descr	db	db_acc	aa_start	aa_stop	num_exons_spanned	gene_id
TAS1R1	0	1	6638814	IPR017978	GPCR_3_C	pfscan	PS50259	566	831	1	ENSG00000173662
TAS1R1	0	1	6638847	IPR017978	GPCR_3_C	pfam	PF00003	577	815	1	ENSG00000173662
TAS1R1	0	1	6639153	IPR000337	GPCR_3	prints	PR00248	679	702	1	ENSG00000173662
SLC2A7	0	1	9063455	IPR005828	Sub_transporter	pfam	PF00083	27	481	11	ENSG00000197241
SLC2A7	0	1	9063467	IPR003663	Sugar/inositol_transpt	tigrfam	TIGR00879	49	477	11	ENSG00000197241
SLC2A7	0	1	9063479	IPR016196	MFS_dom_general_subst_transpt	superfamily	SSF103473	1	473	12	ENSG00000197241
SLC2A7	0	1	9063488	IPR020846	MFS_dom	pfscan	PS50850	27	470	11	ENSG00000197241
SLC2A7	0	1	9064937	IPR011701	MFS	pfam	PF07690	80	398	9	ENSG00000197241
HNRNPCL1	1	1	12907267	IPR017347	hnRNP_C_Raly	pirsf	PIRSF037992	1	292	1	ENSG00000179172
TMCO4	1	1	20009878	IPR007941	DUF726	pfam	PF05277	185	520	9	ENSG00000162542
TMCO4	1	1	20009929	IPR010297	DUF900_hydrolase	pfam	PF05990	349	503	5	ENSG00000162542
ACOT11	0	1	55069608	IPR002913	START_lipid-bd_dom	smart	SM00234	384	590	6	ENSG00000162390
ACOT11	0	1	55070019	IPR002913	START_lipid-bd_dom	pfam	PF01852	385	587	5	ENSG00000162390
ACOT11	0	1	55070067	IPR002913	START_lipid-bd_dom	pfscan	PS50848	401	547	5	ENSG00000162390
FAM151A	0	1	55077295	IPR019356	DUF2181	pfam	PF10223	66	308	5	ENSG00000162391
FGGY	0	1	60019864	IPR018485	Carb_kinase_FGGY_C	pfam	PF02782	290	520	8	ENSG00000172456
TNNI3K	0	1	74715165	IPR020683	Ankyrin_rpt-contain_dom	superfamily	SSF48403	159	519	10	ENSG00000116783
GBP3	1	1	89473452	IPR003191	Guanylate-bd_C	superfamily	SSF48340	282	581	6	ENSG00000117226
GBP3	1	1	89473461	IPR003191	Guanylate-bd_C	pfam	PF02841	282	578	6	ENSG00000117226
GBP5	0	1	89726417	IPR003191	Guanylate-bd_C	superfamily	SSF48340	282	577	6	ENSG00000154451
GBP5	0	1	89726429	IPR003191	Guanylate-bd_C	pfam	PF02841	282	573	6	ENSG00000154451
DPYD	0	1	97658700	IPR005720	Dihydroorotate_DH	tigrfam	TIGR01037	534	849	8	ENSG00000188641
DPYD	0	1	97658733	IPR012135	Dihydroorotate_DH_1_2	pfam	PF01180	534	838	8	ENSG00000188641
LRRC39	0	1	100620690	IPR001611	Leu-rich_rpt	pfam	PF00560	223	243	1	ENSG00000122477
LRRC39	0	1	100620690	IPR003591	Leu-rich_rpt_typical-subtyp	smart	SM00369	221	243	1	ENSG00000122477
SLC16A4	0	1	110906391	IPR020846	MFS_dom	pfscan	PS50850	300	487	4	ENSG00000168679
SLC16A4	0	1	110906400	IPR011701	MFS	pfam	PF07690	309	484	4	ENSG00000168679
NBPF10	1	1	145358384	IPR010630	NBPF_dom	pfam	PF06758	2976	3042	2	ENSG00000163386
NBPF15	0	1	148593758	IPR010630	NBPF_dom	pfam	PF06758	582	647	2	ENSG00000243452
FLG	0	1	152286078	IPR003303	Filaggrin	pfam	PF03516	374	428	1	ENSG00000143631
TNN	0	1	175066819	IPR003961	Fibronectin_type3	pfscan	PS50853	619	706	2	ENSG00000120332
TNN	0	1	175067470	IPR003961	Fibronectin_type3	smart	SM00060	620	697	1	ENSG00000120332
TNN	0	1	175067476	IPR003961	Fibronectin_type3	pfam	PF00041	622	697	1	ENSG00000120332
TNN	0	1	175067482	IPR003961	Fibronectin_type3	superfamily	SSF49265	624	711	2	ENSG00000120332
CFHR3	0	1	196749103	IPR000436	Sushi_SCR_CCP	pfscan	PS50923	144	205	3	ENSG00000116785
CFHR3	0	1	196759183	IPR000436	Sushi_SCR_CCP	pfscan	PS50923	208	266	2	ENSG00000116785
CFHR4	0	1	196879416	IPR000436	Sushi_SCR_CCP	superfamily	SSF57535	268	338	2	ENSG00000134365
CFHR4	0	1	196879602	IPR000436	Sushi_SCR_CCP	superfamily	SSF57535	330	398	3	ENSG00000134365
CFHR4	0	1	196879608	IPR000436	Sushi_SCR_CCP	pfscan	PS50923	332	393	3	ENSG00000134365
CFHR5	0	1	196965160	IPR000436	Sushi_SCR_CCP	pfscan	PS50923	267	324	2	ENSG00000134389
CNTN2	0	1	205030998	IPR007110	Ig-like_dom	pfscan	PS50835	327	411	2	ENSG00000184144
CNTN2	0	1	205031010	IPR013098	Ig_I-set	pfam	PF07679	331	412	2	ENSG00000184144
CNTN2	0	1	205031016	IPR003599	Ig_sub	smart	SM00409	333	413	2	ENSG00000184144
CNTN2	0	1	205031034	IPR003598	Ig_sub2	smart	SM00408	339	402	2	ENSG00000184144
USH2A	0	1	215956144	IPR003961	Fibronectin_type3	superfamily	SSF49265	3100	3507	7	ENSG00000042781
USH2A	0	1	215956210	IPR003961	Fibronectin_type3	smart	SM00060	3110	3485	7	ENSG00000042781
LEFTY1	1	1	226074445	IPR003942	LRDF	pirsf	PIRSF037402	1	361	4	ENSG00000243709
LEFTY1	1	1	226075203	IPR001111	TGF-b_N	pfam	PF00688	22	211	3	ENSG00000243709
LEFTY1	1	1	226075713	IPR003942	LRDF	prints	PR01427	72	90	2	ENSG00000243709
RP4-559A3.7	1	1	226075711	IPR008927	6-PGluconate_DH_C-like	superfamily	SSF48179	108	199	3	ENSG00000255835
ARV1	0	1	231114948	IPR007290	Arv1	pfam	PF04161	33	223	4	ENSG00000173409
OR2T11	0	1	248789569	IPR000276	GPCR_Rhodpsn	pfam	PF00001	39	287	1	ENSG00000183130
OR2T11	0	1	248789569	IPR017452	GPCR_Rhodpsn_7TM	pfscan	PS50262	38	287	1	ENSG00000183130
OR2T35	0	1	248801690	IPR000276	GPCR_Rhodpsn	pfam	PF00001	43	290	1	ENSG00000177151
OR2T35	0	1	248801690	IPR017452	GPCR_Rhodpsn_7TM	pfscan	PS50262	42	290	1	ENSG00000177151
OR2T35	0	1	248801750	IPR019424	7TM_GPCR_olfarory/Srsx	pfam	PF10320	36	270	1	ENSG00000177151
ALLC	0	2	3718748	IPR005164	Allantoicase	tigrfam	TIGR02961	1	365	11	ENSG00000151360
