gene_name	count	chrom	pos	interpro_id	interpro_descr	db	db_acc	aa_start	aa_stop	num_exons_spanned	gene_id
OR4F5	0	1	69184	IPR019424	7TM_GPCR_olfarory/Srsx	pfam	PF10320	32	290	1	ENSG00000186092
OR4F5	0	1	69190	IPR000276	GPCR_Rhodpsn	pfam	PF00001	34	280	1	ENSG00000186092
OR4F5	0	1	69190	IPR017452	GPCR_Rhodpsn_7TM	pfscan	PS50262	34	280	1	ENSG00000186092
OR4F5	0	1	69454	IPR000725	Olfact_rcpt	prints	PR00245	122	134	1	ENSG00000186092
OR4F5	0	1	69595	IPR000725	Olfact_rcpt	prints	PR00245	169	185	1	ENSG00000186092
OR4F5	0	1	69874	IPR000276	GPCR_Rhodpsn	prints	PR00237	262	288	1	ENSG00000186092
NOC2L	1	1	880173	IPR016024	ARM-type_fold	superfamily	SSF48371	247	717	13	ENSG00000188976
HES4	1	1	934907	IPR011598	bHLH_dom	smart	SM00353	66	123	2	ENSG00000188290
HES4	1	1	934916	IPR011598	bHLH_dom	superfamily	SSF47459	60	120	2	ENSG00000188290
HES4	1	1	934922	IPR011598	bHLH_dom	pfscan	PS50888	50	118	2	ENSG00000188290
HES4	1	1	934925	IPR011598	bHLH_dom	pfam	PF00010	64	117	2	ENSG00000188290
AGRN	0	1	984252	IPR008985	ConA-like_lec_gl_sf	superfamily	SSF49899	1371	1548	3	ENSG00000188157
AGRN	0	1	984255	IPR001791	Laminin_G	pfscan	PS50025	1372	1548	3	ENSG00000188157
AGRN	0	1	984315	IPR001791	Laminin_G	smart	SM00282	1392	1528	3	ENSG00000188157
AGRN	0	1	984339	IPR001791	Laminin_G	pfam	PF00054	1400	1530	3	ENSG00000188157
GLTPD1	0	1	1262339	IPR014830	Glycolipid_transfer_prot_dom	superfamily	SSF110004	17	214	2	ENSG00000224051
GLTPD1	0	1	1262366	IPR014830	Glycolipid_transfer_prot_dom	pfam	PF08718	26	177	2	ENSG00000224051
TAS1R3	0	1	1266801	IPR028082	Peripla_BP_I	superfamily	SSF53822	26	489	4	ENSG00000169962
TAS1R3	0	1	1267040	IPR001828	ANF_lig-bd_rcpt	pfam	PF01094	72	462	3	ENSG00000169962
TAS1R3	0	1	1267488	IPR000337	GPCR_3	prints	PR00248	193	209	1	ENSG00000169962
CCNL2	0	1	1322614	IPR017060	Cyclin_L	pirsf	PIRSF036580	1	520	11	ENSG00000221978
ATAD3C	1	1	1390849	IPR027417	P-loop_NTPase	superfamily	SSF52540	130	387	8	ENSG00000215915
ATAD3C	0	1	1391237	IPR003593	AAA+_ATPase	smart	SM00382	169	302	5	ENSG00000215915
ATAD3C	0	1	1391249	IPR003959	ATPase_AAA_core	pfam	PF00004	173	299	5	ENSG00000215915
ATAD3B	2	1	1421168	IPR027417	P-loop_NTPase	superfamily	SSF52540	305	562	8	ENSG00000160072
ATAD3B	2	1	1421556	IPR003593	AAA+_ATPase	smart	SM00382	344	477	5	ENSG00000160072
ATAD3B	2	1	1421568	IPR003959	ATPase_AAA_core	pfam	PF00004	348	474	5	ENSG00000160072
SLC35E2	0	1	1669767	IPR000620	DMT	pfam	PF00892	116	193	2	ENSG00000215790
CALML6	1	1	1847898	IPR002048	EF_hand_dom	pfscan	PS50222	33	68	1	ENSG00000169885
CALML6	1	1	1847910	IPR002048	EF_hand_dom	smart	SM00054	37	65	1	ENSG00000169885
PRKCZ	0	1	1982070	IPR012233	PKC_zeta	pirsf	PIRSF000554	1	592	18	ENSG00000067606
PRKCZ	0	1	2066754	IPR002219	Prot_Kinase_C-like_PE/DAG-bd	pfscan	PS50081	130	180	2	ENSG00000067606
PRKCZ	0	1	2066757	IPR002219	Prot_Kinase_C-like_PE/DAG-bd	pfam	PF00130	131	182	2	ENSG00000067606
PRKCZ	0	1	2075733	IPR020454	DAG/PE-bd	prints	PR00008	169	181	1	ENSG00000067606
PEX10	1	1	2338209	IPR006845	Pex_N	pfam	PF04757	18	262	4	ENSG00000157911
TTC34	1	1	2573137	IPR019734	TPR_repeat	smart	SM00028	424	457	1	ENSG00000215912
MEGF6	0	1	3413801	IPR000742	EG-like_dom	pfscan	PS50026	1124	1159	1	ENSG00000162591
MEGF6	0	1	3413894	IPR002049	EGF_laminin	smart	SM00180	1090	1128	2	ENSG00000162591
MEGF6	1	1	3416445	IPR002049	EGF_laminin	pfam	PF00053	873	917	2	ENSG00000162591
MEGF6	1	1	3416457	IPR002049	EGF_laminin	smart	SM00180	873	913	2	ENSG00000162591
MEGF6	1	1	3417201	IPR000742	EG-like_dom	smart	SM00181	868	901	1	ENSG00000162591
MEGF6	1	1	3431115	IPR001881	EGF-like_Ca-bd_dom	smart	SM00179	248	284	1	ENSG00000162591
MEGF6	1	1	3431115	IPR000742	EG-like_dom	smart	SM00181	247	284	1	ENSG00000162591
WRAP73	1	1	3547596	IPR017986	WD40_repeat_dom	superfamily	SSF50978	225	442	6	ENSG00000116213
DFFB	0	1	3782432	IPR015311	Apoptosis_DFF40	pfam	PF09230	100	323	5	ENSG00000169598
CHD5	1	1	6214865	IPR012958	CHD_N	pfam	PF08073	146	200	2	ENSG00000116254
PLEKHG5	1	1	6530608	IPR000219	DH-domain	superfamily	SSF48065	397	625	7	ENSG00000171680
PLEKHG5	1	1	6530662	IPR000219	DH-domain	pfscan	PS50010	415	607	6	ENSG00000171680
PLEKHG5	1	1	6530665	IPR000219	DH-domain	smart	SM00325	419	606	6	ENSG00000171680
PLEKHG5	1	1	6530668	IPR000219	DH-domain	pfam	PF00621	420	605	6	ENSG00000171680
TAS1R1	2	1	6638814	IPR017978	GPCR_3_C	pfscan	PS50259	566	831	1	ENSG00000173662
TAS1R1	2	1	6638847	IPR017978	GPCR_3_C	pfam	PF00003	577	815	1	ENSG00000173662
TAS1R1	2	1	6639153	IPR000337	GPCR_3	prints	PR00248	679	702	1	ENSG00000173662
PARK7	0	1	8022861	IPR006287	DJ1	tigrfam	TIGR01383	6	183	6	ENSG00000116288
PARK7	0	1	8025387	IPR002818	ThiJ/PfpI	pfam	PF01965	32	173	5	ENSG00000116288
SLC2A7	1	1	9063455	IPR005828	Sub_transporter	pfam	PF00083	27	481	11	ENSG00000197241
SLC2A7	1	1	9063467	IPR003663	Sugar/inositol_transpt	tigrfam	TIGR00879	49	477	11	ENSG00000197241
SLC2A7	1	1	9063479	IPR016196	MFS_dom_general_subst_transpt	superfamily	SSF103473	1	473	12	ENSG00000197241
SLC2A7	1	1	9063488	IPR020846	MFS_dom	pfscan	PS50850	27	470	11	ENSG00000197241
SLC2A7	1	1	9064937	IPR011701	MFS	pfam	PF07690	80	398	9	ENSG00000197241
SLC2A5	1	1	9097726	IPR005828	Sub_transporter	pfam	PF00083	21	475	11	ENSG00000142583
SLC2A5	1	1	9097738	IPR003663	Sugar/inositol_transpt	tigrfam	TIGR00879	28	471	11	ENSG00000142583
SLC2A5	1	1	9097750	IPR016196	MFS_dom_general_subst_transpt	superfamily	SSF103473	1	467	12	ENSG00000142583
SLC2A5	1	1	9097759	IPR020846	MFS_dom	pfscan	PS50850	21	464	11	ENSG00000142583
SLC2A5	1	1	9098494	IPR011701	MFS	pfam	PF07690	22	390	9	ENSG00000142583
CLSTN1	3	1	9809826	IPR002126	Cadherin	pfscan	PS50268	165	265	2	ENSG00000171603
CLSTN1	3	1	9809832	IPR002126	Cadherin	smart	SM00112	185	263	2	ENSG00000171603
CLSTN1	3	1	9809844	IPR015919	Cadherin-like	superfamily	SSF49313	157	259	2	ENSG00000171603
CLSTN1	3	1	9809850	IPR002126	Cadherin	pfam	PF00028	169	257	2	ENSG00000171603
PEX14	0	1	10555364	IPR006785	Pex14_N	pfam	PF04695	24	135	5	ENSG00000142655
MASP2	0	1	11097867	IPR000859	CUB_dom	superfamily	SSF49854	183	297	3	ENSG00000009724
MASP2	0	1	11102933	IPR000859	CUB_dom	smart	SM00042	184	296	2	ENSG00000009724
