gene_name	count	chrom	pos	interpro_id	interpro_descr	db	db_acc	aa_start	aa_stop	num_exons_spanned	gene_id
TAS1R1	0	1	6638814	IPR017978	GPCR_3_C	pfscan	PS50259	566	831	1	ENSG00000173662
TAS1R1	0	1	6638847	IPR017978	GPCR_3_C	pfam	PF00003	577	815	1	ENSG00000173662
TAS1R1	0	1	6639153	IPR000337	GPCR_3	prints	PR00248	679	702	1	ENSG00000173662
SLC2A7	0	1	9063455	IPR005828	Sub_transporter	pfam	PF00083	27	481	11	ENSG00000197241
SLC2A7	0	1	9063467	IPR003663	Sugar/inositol_transpt	tigrfam	TIGR00879	49	477	11	ENSG00000197241
SLC2A7	0	1	9063479	IPR016196	MFS_dom_general_subst_transpt	superfamily	SSF103473	1	473	12	ENSG00000197241
SLC2A7	0	1	9063488	IPR020846	MFS_dom	pfscan	PS50850	27	470	11	ENSG00000197241
SLC2A7	0	1	9064937	IPR011701	MFS	pfam	PF07690	80	398	9	ENSG00000197241
HNRNPCL1	0	1	12907267	IPR017347	hnRNP_C_Raly	pirsf	PIRSF037992	1	292	1	ENSG00000179172
TMCO4	0	1	20009878	IPR007941	DUF726	pfam	PF05277	185	520	9	ENSG00000162542
TMCO4	0	1	20009929	IPR010297	DUF900_hydrolase	pfam	PF05990	349	503	5	ENSG00000162542
LACTBL1	0	1	23279947	IPR012338	Beta-lactam/transpept-like	superfamily	SSF56601	43	410	5	ENSG00000215906
LACTBL1	0	1	23279974	IPR001466	Beta-lactam-related	pfam	PF00144	54	401	4	ENSG00000215906
RHD	0	1	25599096	IPR024041	NH4_transpt_AmtB-like_dom	pfam	PF00909	20	392	9	ENSG00000187010
RHD	0	1	25599147	IPR024041	NH4_transpt_AmtB-like_dom	superfamily	SSF111352	37	392	9	ENSG00000187010
FCN3	0	1	27695730	IPR002181	Fibrinogen_a/b/g_C_dom	smart	SM00186	88	299	5	ENSG00000142748
PTP4A2	3	1	32374501	IPR003595	Tyr_Pase_cat	smart	SM00404	57	152	4	ENSG00000184007
PTP4A2	3	1	32374531	IPR000242	Tyr_Pase_rcpt/non-rcpt	pfam	PF00102	34	142	4	ENSG00000184007
PTP4A2	3	1	32374540	IPR000340	Dual-sp_phosphatase_cat-dom	pfam	PF00782	32	139	5	ENSG00000184007
A3GALT2	1	1	33772370	IPR005076	Glyco_trans_6	pfam	PF03414	63	340	3	ENSG00000184389
GJB4	0	1	35226859	IPR013092	Connexin_N	pfam	PF00029	2	106	1	ENSG00000189433
GJB4	0	1	35226979	IPR013092	Connexin_N	smart	SM00037	42	75	1	ENSG00000189433
GJB4	0	1	35227006	IPR000500	Connexin	prints	PR00206	51	73	1	ENSG00000189433
GJB4	0	1	35227081	IPR000500	Connexin	prints	PR00206	76	96	1	ENSG00000189433
EXO5	1	1	40980925	IPR019190	EXOV	pfam	PF09810	237	355	1	ENSG00000164002
HYI	0	1	43916936	IPR013022	Xyl_isomerase-like_TIM-brl	superfamily	SSF51658	3	269	8	ENSG00000178922
CYP4Z1	0	1	47533289	IPR001128	Cyt_P450	superfamily	SSF48264	43	503	12	ENSG00000186160
CYP4Z1	0	1	47533301	IPR001128	Cyt_P450	pfam	PF00067	47	497	12	ENSG00000186160
CYP4A22	0	1	47603299	IPR001128	Cyt_P450	superfamily	SSF48264	48	508	12	ENSG00000162365
CYP4A22	0	1	47603311	IPR001128	Cyt_P450	pfam	PF00067	52	502	12	ENSG00000162365
ACOT11	1	1	55069608	IPR002913	START_lipid-bd_dom	smart	SM00234	384	590	6	ENSG00000162390
ACOT11	1	1	55070019	IPR002913	START_lipid-bd_dom	pfam	PF01852	385	587	5	ENSG00000162390
ACOT11	1	1	55070067	IPR002913	START_lipid-bd_dom	pfscan	PS50848	401	547	5	ENSG00000162390
FAM151A	0	1	55077295	IPR019356	DUF2181	pfam	PF10223	66	308	5	ENSG00000162391
FGGY	0	1	60019864	IPR018485	Carb_kinase_FGGY_C	pfam	PF02782	290	520	8	ENSG00000172456
TNNI3K	0	1	74715165	IPR020683	Ankyrin_rpt-contain_dom	superfamily	SSF48403	159	519	10	ENSG00000116783
GBP3	0	1	89473452	IPR003191	Guanylate-bd_C	superfamily	SSF48340	282	581	6	ENSG00000117226
GBP3	0	1	89473461	IPR003191	Guanylate-bd_C	pfam	PF02841	282	578	6	ENSG00000117226
GBP7	0	1	89616041	IPR015894	Guanylate-bd_N	pfam	PF02263	19	281	5	ENSG00000213512
GBP7	0	1	89616044	IPR027417	P-loop_NTPase	superfamily	SSF52540	7	280	5	ENSG00000213512
GBP5	0	1	89726417	IPR003191	Guanylate-bd_C	superfamily	SSF48340	282	577	6	ENSG00000154451
GBP5	0	1	89726429	IPR003191	Guanylate-bd_C	pfam	PF02841	282	573	6	ENSG00000154451
DPYD	0	1	97658700	IPR005720	Dihydroorotate_DH	tigrfam	TIGR01037	534	849	8	ENSG00000188641
DPYD	0	1	97658733	IPR012135	Dihydroorotate_DH_1_2	pfam	PF01180	534	838	8	ENSG00000188641
LRRC39	0	1	100620690	IPR001611	Leu-rich_rpt	pfam	PF00560	223	243	1	ENSG00000122477
LRRC39	0	1	100620690	IPR003591	Leu-rich_rpt_typical-subtyp	smart	SM00369	221	243	1	ENSG00000122477
C1orf194	0	1	109649209	IPR022179	DUF3695	pfam	PF12494	17	117	3	ENSG00000179902
SLC16A4	0	1	110906391	IPR020846	MFS_dom	pfscan	PS50850	300	487	4	ENSG00000168679
SLC16A4	0	1	110906400	IPR011701	MFS	pfam	PF07690	309	484	4	ENSG00000168679
CHIA	0	1	111854820	IPR011583	Chitinase_II	smart	SM00636	22	365	8	ENSG00000134216
CHIA	0	1	111854820	IPR017853	Glycoside_hydrolase_SF	superfamily	SSF51445	22	393	9	ENSG00000134216
CHIA	0	1	111854823	IPR001223	Glyco_hydro18cat	pfam	PF00704	23	365	8	ENSG00000134216
AMPD1	6	1	115215738	IPR006329	AMP_deaminase	pirsf	PIRSF001251	8	780	16	ENSG00000116748
NBPF10	0	1	145358384	IPR010630	NBPF_dom	pfam	PF06758	2976	3042	2	ENSG00000163386
NBPF15	1	1	148593758	IPR010630	NBPF_dom	pfam	PF06758	582	647	2	ENSG00000243452
APH1A	0	1	150238593	IPR009294	Aph-1	pfam	PF06105	3	245	7	ENSG00000117362
FLG	1	1	152276718	IPR003303	Filaggrin	pfam	PF03516	3497	3548	1	ENSG00000143631
FLG	0	1	152281581	IPR003303	Filaggrin	pfam	PF03516	1876	1927	1	ENSG00000143631
