gene_name	count	chrom	pos	interpro_id	interpro_descr	db	db_acc	aa_start	aa_stop	num_exons_spanned	gene_id
TAS1R1	2	1	6638814	IPR017978	GPCR_3_C	pfscan	PS50259	566	831	1	ENSG00000173662
TAS1R1	2	1	6638847	IPR017978	GPCR_3_C	pfam	PF00003	577	815	1	ENSG00000173662
TAS1R1	2	1	6639153	IPR000337	GPCR_3	prints	PR00248	679	702	1	ENSG00000173662
SLC2A7	1	1	9063455	IPR005828	Sub_transporter	pfam	PF00083	27	481	11	ENSG00000197241
SLC2A7	1	1	9063467	IPR003663	Sugar/inositol_transpt	tigrfam	TIGR00879	49	477	11	ENSG00000197241
SLC2A7	1	1	9063479	IPR016196	MFS_dom_general_subst_transpt	superfamily	SSF103473	1	473	12	ENSG00000197241
SLC2A7	1	1	9063488	IPR020846	MFS_dom	pfscan	PS50850	27	470	11	ENSG00000197241
SLC2A7	1	1	9064937	IPR011701	MFS	pfam	PF07690	80	398	9	ENSG00000197241
HNRNPCL1	3	1	12907267	IPR017347	hnRNP_C_Raly	pirsf	PIRSF037992	1	292	1	ENSG00000179172
TMCO4	1	1	20009878	IPR007941	DUF726	pfam	PF05277	185	520	9	ENSG00000162542
TMCO4	1	1	20009929	IPR010297	DUF900_hydrolase	pfam	PF05990	349	503	5	ENSG00000162542
A3GALT2	3	1	33772370	IPR005076	Glyco_trans_6	pfam	PF03414	63	340	3	ENSG00000184389
EXO5	2	1	40980925	IPR019190	EXOV	pfam	PF09810	237	355	1	ENSG00000164002
CYP4A22	1	1	47603299	IPR001128	Cyt_P450	superfamily	SSF48264	48	508	12	ENSG00000162365
CYP4A22	1	1	47603311	IPR001128	Cyt_P450	pfam	PF00067	52	502	12	ENSG00000162365
ACOT11	3	1	55069608	IPR002913	START_lipid-bd_dom	smart	SM00234	384	590	6	ENSG00000162390
ACOT11	3	1	55070019	IPR002913	START_lipid-bd_dom	pfam	PF01852	385	587	5	ENSG00000162390
ACOT11	3	1	55070067	IPR002913	START_lipid-bd_dom	pfscan	PS50848	401	547	5	ENSG00000162390
FAM151A	3	1	55077295	IPR019356	DUF2181	pfam	PF10223	66	308	5	ENSG00000162391
FGGY	2	1	60019864	IPR018485	Carb_kinase_FGGY_C	pfam	PF02782	290	520	8	ENSG00000172456
TNNI3K	1	1	74715165	IPR020683	Ankyrin_rpt-contain_dom	superfamily	SSF48403	159	519	10	ENSG00000116783
GBP3	3	1	89473452	IPR003191	Guanylate-bd_C	superfamily	SSF48340	282	581	6	ENSG00000117226
GBP3	3	1	89473461	IPR003191	Guanylate-bd_C	pfam	PF02841	282	578	6	ENSG00000117226
GBP7	1	1	89616041	IPR015894	Guanylate-bd_N	pfam	PF02263	19	281	5	ENSG00000213512
GBP7	1	1	89616044	IPR027417	P-loop_NTPase	superfamily	SSF52540	7	280	5	ENSG00000213512
GBP5	1	1	89726417	IPR003191	Guanylate-bd_C	superfamily	SSF48340	282	577	6	ENSG00000154451
GBP5	1	1	89726429	IPR003191	Guanylate-bd_C	pfam	PF02841	282	573	6	ENSG00000154451
DPYD	1	1	97658700	IPR005720	Dihydroorotate_DH	tigrfam	TIGR01037	534	849	8	ENSG00000188641
DPYD	1	1	97658733	IPR012135	Dihydroorotate_DH_1_2	pfam	PF01180	534	838	8	ENSG00000188641
LRRC39	1	1	100620690	IPR001611	Leu-rich_rpt	pfam	PF00560	223	243	1	ENSG00000122477
LRRC39	1	1	100620690	IPR003591	Leu-rich_rpt_typical-subtyp	smart	SM00369	221	243	1	ENSG00000122477
C1orf194	2	1	109649209	IPR022179	DUF3695	pfam	PF12494	17	117	3	ENSG00000179902
SLC16A4	1	1	110906391	IPR020846	MFS_dom	pfscan	PS50850	300	487	4	ENSG00000168679
SLC16A4	1	1	110906400	IPR011701	MFS	pfam	PF07690	309	484	4	ENSG00000168679
NBPF10	1	1	145358384	IPR010630	NBPF_dom	pfam	PF06758	2976	3042	2	ENSG00000163386
NBPF15	1	1	148593758	IPR010630	NBPF_dom	pfam	PF06758	582	647	2	ENSG00000243452
FLG	1	1	152286078	IPR003303	Filaggrin	pfam	PF03516	374	428	1	ENSG00000143631
TNN	1	1	175066819	IPR003961	Fibronectin_type3	pfscan	PS50853	619	706	2	ENSG00000120332
TNN	1	1	175067470	IPR003961	Fibronectin_type3	smart	SM00060	620	697	1	ENSG00000120332
TNN	1	1	175067476	IPR003961	Fibronectin_type3	pfam	PF00041	622	697	1	ENSG00000120332
TNN	1	1	175067482	IPR003961	Fibronectin_type3	superfamily	SSF49265	624	711	2	ENSG00000120332
CFHR3	1	1	196749103	IPR000436	Sushi_SCR_CCP	pfscan	PS50923	144	205	3	ENSG00000116785
