gene_name	count	chrom	pos	interpro_id	interpro_descr	db	db_acc	aa_start	aa_stop	num_exons_spanned	gene_id
OR4F5	1	1	69184	IPR019424	7TM_GPCR_olfarory/Srsx	pfam	PF10320	32	290	1	ENSG00000186092
OR4F5	1	1	69190	IPR000276	GPCR_Rhodpsn	pfam	PF00001	34	280	1	ENSG00000186092
OR4F5	1	1	69190	IPR017452	GPCR_Rhodpsn_7TM	pfscan	PS50262	34	280	1	ENSG00000186092
SAMD11	1	1	878662	IPR013761	SAM/pointed	superfamily	SSF47769	532	613	3	ENSG00000187634
NOC2L	2	1	880173	IPR016024	ARM-type_fold	superfamily	SSF48371	247	717	13	ENSG00000188976
NOC2L	1	1	881601	IPR005343	Noc2	pfam	PF03715	326	623	8	ENSG00000188976
KLHL17	1	1	896131	IPR017096	Kelch-like_gigaxonin	pirsf	PIRSF037037	20	628	12	ENSG00000187961
KLHL17	1	1	896755	IPR011333	BTB/POZ_fold	superfamily	SSF54695	64	189	3	ENSG00000187961
KLHL17	1	1	896812	IPR013069	BTB_POZ	pfam	PF00651	83	188	3	ENSG00000187961
KLHL17	1	1	896839	IPR000210	BTB/POZ-like	smart	SM00225	92	189	3	ENSG00000187961
HES4	2	1	934922	IPR011598	bHLH_dom	pfscan	PS50888	50	118	2	ENSG00000188290
TTLL10	1	1	1117754	IPR004344	TTL/TTLL_fam	pfam	PF03133	282	541	7	ENSG00000162571
B3GALT6	3	1	1167869	IPR002659	Glyco_trans_31	pfam	PF01762	71	259	1	ENSG00000176022
FAM132A	16	1	1177934	IPR008983	Tumour_necrosis_fac-like_dom	superfamily	SSF49842	149	301	5	ENSG00000184163
SCNN1D	19	1	1221402	IPR004724	EnaC	tigrfam	TIGR00859	219	781	12	ENSG00000162572
SCNN1D	19	1	1221426	IPR001873	Na+channel_ASC	pfam	PF00858	227	714	12	ENSG00000162572
SCNN1D	2	1	1221492	IPR001873	Na+channel_ASC	prints	PR01078	249	266	1	ENSG00000162572
PUSL1	9	1	1244054	IPR001406	PsdUridine_synth_TruA	pirsf	PIRSF001430	11	301	8	ENSG00000169972
PUSL1	9	1	1244054	IPR020103	PsdUridine_synth_cat_dom	superfamily	SSF55120	11	302	8	ENSG00000169972
PUSL1	1	1	1244075	IPR020097	PsdUridine_synth_TruA_a/b_dom	pfam	PF01416	18	123	4	ENSG00000169972
PUSL1	2	1	1245089	IPR020097	PsdUridine_synth_TruA_a/b_dom	pfam	PF01416	168	284	3	ENSG00000169972
CPSF3L	1	1	1248457	IPR022712	Beta_Casp	pfam	PF10996	251	369	4	ENSG00000127054
CPSF3L	1	1	1250207	IPR001279	Beta-lactamas-like	smart	SM00849	22	239	6	ENSG00000127054
CPSF3L	1	1	1250336	IPR001279	Beta-lactamas-like	pfam	PF00753	20	196	6	ENSG00000127054
TAS1R3	3	1	1268987	IPR017978	GPCR_3_C	pfscan	PS50259	568	825	1	ENSG00000169962
TAS1R3	3	1	1269026	IPR017978	GPCR_3_C	pfam	PF00003	581	817	1	ENSG00000169962
ANKRD65	2	1	1354582	IPR020683	Ankyrin_rpt-contain_dom	pfscan	PS50297	40	366	3	ENSG00000235098
ANKRD65	2	1	1354600	IPR020683	Ankyrin_rpt-contain_dom	superfamily	SSF48403	42	360	3	ENSG00000235098
ANKRD65	1	1	1354681	IPR002110	Ankyrin_rpt	pfscan	PS50088	301	333	1	ENSG00000235098
ANKRD65	1	1	1354687	IPR002110	Ankyrin_rpt	pfam	PF00023	302	331	1	ENSG00000235098
ANKRD65	1	1	1354690	IPR002110	Ankyrin_rpt	smart	SM00248	301	330	1	ENSG00000235098
ANKRD65	1	1	1354879	IPR002110	Ankyrin_rpt	pfscan	PS50088	235	267	2	ENSG00000235098
ANKRD65	1	1	1354888	IPR002110	Ankyrin_rpt	smart	SM00248	235	264	2	ENSG00000235098
ATAD3C	4	1	1390849	IPR027417	P-loop_NTPase	superfamily	SSF52540	130	387	8	ENSG00000215915
ATAD3C	4	1	1391237	IPR003593	AAA+_ATPase	smart	SM00382	169	302	5	ENSG00000215915
ATAD3C	4	1	1391249	IPR003959	ATPase_AAA_core	pfam	PF00004	173	299	5	ENSG00000215915
ATAD3B	1	1	1407334	IPR021911	DUF3523	pfam	PF12037	24	286	8	ENSG00000160072
ATAD3B	1	1	1421168	IPR027417	P-loop_NTPase	superfamily	SSF52540	305	562	8	ENSG00000160072
CDK11A	1	1	1634552	IPR011009	Kinase-like_dom	superfamily	SSF56112	409	739	9	ENSG00000008128
CDK11A	1	1	1634645	IPR000719	Prot_kinase_dom	pfam	PF00069	423	708	8	ENSG00000008128
