gene_name	count	chrom	pos	interpro_id	interpro_descr	db	db_acc	aa_start	aa_stop	num_exons_spanned	gene_id
OR4F5	2	1	69184	IPR019424	7TM_GPCR_olfarory/Srsx	pfam	PF10320	32	290	1	ENSG00000186092
OR4F5	2	1	69190	IPR000276	GPCR_Rhodpsn	pfam	PF00001	34	280	1	ENSG00000186092
OR4F5	2	1	69190	IPR017452	GPCR_Rhodpsn_7TM	pfscan	PS50262	34	280	1	ENSG00000186092
OR4F5	1	1	69454	IPR000725	Olfact_rcpt	prints	PR00245	122	134	1	ENSG00000186092
ATAD3C	0	1	1390849	IPR027417	P-loop_NTPase	superfamily	SSF52540	130	387	8	ENSG00000215915
CALML6	0	1	1847898	IPR002048	EF_hand_dom	pfscan	PS50222	33	68	1	ENSG00000169885
CALML6	0	1	1847910	IPR002048	EF_hand_dom	smart	SM00054	37	65	1	ENSG00000169885
PRKCZ	0	1	1982070	IPR012233	PKC_zeta	pirsf	PIRSF000554	1	592	18	ENSG00000067606
PRKCZ	0	1	2066754	IPR002219	Prot_Kinase_C-like_PE/DAG-bd	pfscan	PS50081	130	180	2	ENSG00000067606
PRKCZ	0	1	2066757	IPR002219	Prot_Kinase_C-like_PE/DAG-bd	pfam	PF00130	131	182	2	ENSG00000067606
PRKCZ	0	1	2075733	IPR020454	DAG/PE-bd	prints	PR00008	169	181	1	ENSG00000067606
MEGF6	1	1	3413801	IPR000742	EG-like_dom	pfscan	PS50026	1124	1159	1	ENSG00000162591
MEGF6	1	1	3413894	IPR002049	EGF_laminin	smart	SM00180	1090	1128	2	ENSG00000162591
MEGF6	0	1	3416445	IPR002049	EGF_laminin	pfam	PF00053	873	917	2	ENSG00000162591
MEGF6	0	1	3416457	IPR002049	EGF_laminin	smart	SM00180	873	913	2	ENSG00000162591
MEGF6	0	1	3417201	IPR000742	EG-like_dom	smart	SM00181	868	901	1	ENSG00000162591
CHD5	0	1	6214865	IPR012958	CHD_N	pfam	PF08073	146	200	2	ENSG00000116254
PLEKHG5	0	1	6530608	IPR000219	DH-domain	superfamily	SSF48065	397	625	7	ENSG00000171680
PLEKHG5	0	1	6530662	IPR000219	DH-domain	pfscan	PS50010	415	607	6	ENSG00000171680
PLEKHG5	0	1	6530665	IPR000219	DH-domain	smart	SM00325	419	606	6	ENSG00000171680
