gene_name	count	chrom	pos	interpro_id	interpro_descr	db	db_acc	aa_start	aa_stop	num_exons_spanned	gene_id
FLG	0	1	152286078	IPR003303	Filaggrin	pfam	PF03516	374	428	1	ENSG00000143631
TNN	0	1	175066819	IPR003961	Fibronectin_type3	pfscan	PS50853	619	706	2	ENSG00000120332
TNN	0	1	175067470	IPR003961	Fibronectin_type3	smart	SM00060	620	697	1	ENSG00000120332
TNN	0	1	175067476	IPR003961	Fibronectin_type3	pfam	PF00041	622	697	1	ENSG00000120332
TNN	0	1	175067482	IPR003961	Fibronectin_type3	superfamily	SSF49265	624	711	2	ENSG00000120332
CFHR4	0	1	196879416	IPR000436	Sushi_SCR_CCP	superfamily	SSF57535	268	338	2	ENSG00000134365
CFHR4	0	1	196879602	IPR000436	Sushi_SCR_CCP	superfamily	SSF57535	330	398	3	ENSG00000134365
CFHR4	0	1	196879608	IPR000436	Sushi_SCR_CCP	pfscan	PS50923	332	393	3	ENSG00000134365
CNTN2	0	1	205030998	IPR007110	Ig-like_dom	pfscan	PS50835	327	411	2	ENSG00000184144
CNTN2	0	1	205031010	IPR013098	Ig_I-set	pfam	PF07679	331	412	2	ENSG00000184144
CNTN2	0	1	205031016	IPR003599	Ig_sub	smart	SM00409	333	413	2	ENSG00000184144
CNTN2	0	1	205031034	IPR003598	Ig_sub2	smart	SM00408	339	402	2	ENSG00000184144
LEFTY1	0	1	226074445	IPR003942	LRDF	pirsf	PIRSF037402	1	361	4	ENSG00000243709
LEFTY1	0	1	226075203	IPR001111	TGF-b_N	pfam	PF00688	22	211	3	ENSG00000243709
LEFTY1	0	1	226075713	IPR003942	LRDF	prints	PR01427	72	90	2	ENSG00000243709
RP4-559A3.7	0	1	226075711	IPR008927	6-PGluconate_DH_C-like	superfamily	SSF48179	108	199	3	ENSG00000255835
RETSAT	0	2	85573135	IPR006076	FAD-dep_OxRdtase	pfam	PF01266	69	360	5	ENSG00000042445
RETSAT	0	2	85578032	IPR002937	Amino_oxidase	pfam	PF01593	78	156	2	ENSG00000042445
RETSAT	0	2	85578834	IPR003953	FAD_bind_dom	pfam	PF00890	69	108	1	ENSG00000042445
RETSAT	0	2	85578834	IPR023753	Pyr_nucl-diS_OxRdtase_FAD/NAD	pfam	PF07992	69	108	1	ENSG00000042445
RETSAT	0	2	85578855	IPR002938	mOase_FAD-bd	pfam	PF01494	68	101	1	ENSG00000042445
