1,A1BG,ENSG00000121410,NM_130786,1722
2,A1CF,ENSG00000148584,NM_138933,9517
3,A2M,ENSG00000175899,NM_000014,4844
4,A2ML1,ENSG00000166535,NM_144670,5274
5,A3GALT2,ENSG00000184389,NM_001080438,1023
6,A4GALT,ENSG00000128274,NM_017436,2020
7,A4GNT,ENSG00000118017,NM_016161,1771
8,AAAS,ENSG00000094914,NM_015665,1840
9,AACS,ENSG00000081760,NM_023928,3316
10,AADAC,ENSG00000114771,NM_001086,1642
11,AADACL2,ENSG00000261846,NM_207365,1487
12,AADACL3,ENSG00000188984,NM_001103170,3662
13,AADACL4,ENSG00000204518,NM_001013630,1575
14,AADAT,ENSG00000109576,NM_182662,2261
15,AAED1,ENSG00000158122,NM_153698,2863
16,AAGAB,ENSG00000103591,NM_024666,2841
17,AAK1,ENSG00000115977,NM_014911,11345
18,AAMDC,ENSG00000087884,NM_024684,531
19,AAMP,ENSG00000127837,NM_001302545,1886
20,AANAT,ENSG00000129673,NM_001166579,1913
21,AAR2,ENSG00000131043,NM_015511,2689
22,AARD,ENSG00000205002,NM_001025357,2299
23,AARS,ENSG00000090861,NM_001605,3477
24,AARS2,ENSG00000124608,NM_020745,3854
25,AARSD1,ENSG00000266967,NM_001261434,1322
26,AASDH,ENSG00000157426,NM_181806,3590
27,AASDHPPT,ENSG00000149313,NM_015423,2955
28,AASS,ENSG00000008311,NM_005763,3163
29,AATF,ENSG00000276072,NM_012138,2141
30,AATK,ENSG00000181409,NM_004920,5257
31,ABAT,ENSG00000183044,NM_020686,5586
32,ABCA1,ENSG00000165029,NM_005502,10494
33,ABCA10,ENSG00000154263,NM_080282,6362
34,ABCA12,ENSG00000144452,NM_173076,9100
35,ABCA13,ENSG00000179869,NM_152701,17184
36,ABCA2,ENSG00000107331,NM_212533,8063
37,ABCA3,ENSG00000167972,NM_001089,6609
38,ABCA4,ENSG00000198691,NM_000350,7309
39,ABCA5,ENSG00000154265,NM_172232,8220
40,ABCA6,ENSG00000154262,NM_080284,5300
41,ABCA7,ENSG00000064687,NM_019112,6816
42,ABCA8,ENSG00000141338,NM_007168,5823
43,ABCA9,ENSG00000154258,NM_080283,6514
44,ABCB1,ENSG00000085563,NM_000927,4645
45,ABCB10,ENSG00000135776,NM_012089,3857
46,ABCB11,ENSG00000276582,NM_003742,4775
47,ABCB4,ENSG00000005471,NM_018850,4020
48,ABCB5,ENSG00000004846,NM_178559,5811
49,ABCB6,ENSG00000115657,NM_005689,3016
50,ABCB7,ENSG00000131269,NM_004299,2408
51,ABCB8,ENSG00000197150,NM_007188,4683
52,ABCB9,ENSG00000150967,NM_203444,3517
53,ABCC1,ENSG00000278183,NM_004996,6552
54,ABCC10,ENSG00000124574,NM_033450,5088
55,ABCC11,ENSG00000121270,NM_145186,4862
56,ABCC12,ENSG00000140798,NM_033226,5168
57,ABCC2,ENSG00000023839,NM_000392,5312
58,ABCC3,ENSG00000108846,NM_003786,5716
59,ABCC4,ENSG00000125257,NM_005845,5839
60,ABCC5,ENSG00000114770,NM_005688,5921
61,ABCC6,ENSG00000275331,NM_001171,5753
62,ABCC8,ENSG00000006071,NM_001287174,4923
63,ABCC9,ENSG00000069431,NM_020297,8293
64,ABCD1,ENSG00000101986,NM_000033,3664
65,ABCD2,ENSG00000173208,NM_005164,6238
66,ABCD3,ENSG00000117528,NM_002858,3538
67,ABCD4,ENSG00000119688,NM_005050,3003
68,ABCE1,ENSG00000164163,NM_002940,3921
69,ABCF1,ENSG00000236342,NM_001090,3481
70,ABCF2,ENSG00000033050,NM_007189,3546
71,ABCF3,ENSG00000161204,NM_018358,2624
72,ABCG1,ENSG00000160179,NM_207629,3119
73,ABCG2,ENSG00000118777,NM_004827,4479
74,ABCG4,ENSG00000172350,NM_022169,3852
75,ABCG5,ENSG00000138075,NM_022436,2740
76,ABCG8,ENSG00000143921,NM_022437,2665
77,ABHD1,ENSG00000143994,NM_032604,1400
78,ABHD10,ENSG00000144827,NM_018394,2590
79,ABHD11,ENSG00000106077,NM_148913,1483
80,ABHD12,ENSG00000100997,NM_015600,2117
81,ABHD12B,ENSG00000131969,NM_181814,1708
82,ABHD13,ENSG00000139826,NM_032859,5338
83,ABHD14A,ENSG00000248487,NM_015407,1062
84,ABHD14B,ENSG00000114779,NM_032750,1818
85,ABHD15,ENSG00000168792,NM_198147,3592
86,ABHD16A,ENSG00000236063,NM_021160,2146
87,ABHD16B,ENSG00000183260,NM_080622,2094
88,ABHD17A,ENSG00000129968,NM_031213,1757
89,ABHD17B,ENSG00000107362,NM_016014,2614
90,ABHD17C,ENSG00000136379,NM_021214,2368
91,ABHD2,ENSG00000140526,NM_152924,8735
92,ABHD3,ENSG00000158201,NM_138340,2080
93,ABHD4,ENSG00000100439,NM_022060,3366
94,ABHD5,ENSG00000011198,NM_016006,1690
95,ABHD6,ENSG00000163686,NM_020676,2393
96,ABHD8,ENSG00000127220,NM_024527,2090
97,ABI1,ENSG00000136754,NM_005470,3689
98,ABI2,ENSG00000138443,NM_005759,6638
99,ABI3,ENSG00000108798,NM_016428,2109
100,ABI3BP,ENSG00000154175,NM_015429,4498
101,ABL1,ENSG00000097007,NM_007313,5766
102,ABL2,ENSG00000143322,NM_007314,12144
103,ABLIM1,ENSG00000099204,NM_006720,7408
104,ABLIM2,ENSG00000163995,NM_032432,3396
105,ABLIM3,ENSG00000173210,NM_014945,4569
106,ABO,ENSG00000175164,NM_020469,1577
107,ABR,ENSG00000278741,NM_021962,5595
108,ABRA,ENSG00000174429,NM_139166,2755
109,ABRACL,ENSG00000146386,NM_021243,845
110,ABT1,ENSG00000146109,NM_013375,2949
111,ABTB1,ENSG00000114626,NM_172027,1965
112,ABTB2,ENSG00000166016,NM_145804,4902
113,ACAA1,ENSG00000060971,NM_001607,1785
114,ACAA2,ENSG00000167315,NM_006111,3350
115,ACACA,ENSG00000278540,NM_198839,9962
116,ACACB,ENSG00000076555,NM_001093,9247
117,ACAD10,ENSG00000111271,NM_025247,4071
