gene_name	count	chrom	pos	interpro_id	interpro_descr	db	db_acc	aa_start	aa_stop	num_exons_spanned	gene_id
TNNI3K	1	1	74715165	IPR020683	Ankyrin_rpt-contain_dom	superfamily	SSF48403	159	519	10	ENSG00000116783
NBPF15	0	1	148593758	IPR010630	NBPF_dom	pfam	PF06758	582	647	2	ENSG00000243452
FLG	1	1	152286078	IPR003303	Filaggrin	pfam	PF03516	374	428	1	ENSG00000143631
TNN	0	1	175066819	IPR003961	Fibronectin_type3	pfscan	PS50853	619	706	2	ENSG00000120332
TNN	0	1	175067470	IPR003961	Fibronectin_type3	smart	SM00060	620	697	1	ENSG00000120332
TNN	0	1	175067476	IPR003961	Fibronectin_type3	pfam	PF00041	622	697	1	ENSG00000120332
TNN	0	1	175067482	IPR003961	Fibronectin_type3	superfamily	SSF49265	624	711	2	ENSG00000120332
CFHR3	0	1	196759183	IPR000436	Sushi_SCR_CCP	pfscan	PS50923	208	266	2	ENSG00000116785
CFHR4	1	1	196879416	IPR000436	Sushi_SCR_CCP	superfamily	SSF57535	268	338	2	ENSG00000134365
CFHR4	1	1	196879602	IPR000436	Sushi_SCR_CCP	superfamily	SSF57535	330	398	3	ENSG00000134365
CFHR4	1	1	196879608	IPR000436	Sushi_SCR_CCP	pfscan	PS50923	332	393	3	ENSG00000134365
CNTN2	0	1	205030998	IPR007110	Ig-like_dom	pfscan	PS50835	327	411	2	ENSG00000184144
CNTN2	0	1	205031010	IPR013098	Ig_I-set	pfam	PF07679	331	412	2	ENSG00000184144
CNTN2	0	1	205031016	IPR003599	Ig_sub	smart	SM00409	333	413	2	ENSG00000184144
CNTN2	0	1	205031034	IPR003598	Ig_sub2	smart	SM00408	339	402	2	ENSG00000184144
USH2A	2	1	215956144	IPR003961	Fibronectin_type3	superfamily	SSF49265	3100	3507	7	ENSG00000042781
USH2A	2	1	215956210	IPR003961	Fibronectin_type3	smart	SM00060	3110	3485	7	ENSG00000042781
LEFTY1	0	1	226074445	IPR003942	LRDF	pirsf	PIRSF037402	1	361	4	ENSG00000243709
LEFTY1	0	1	226075203	IPR001111	TGF-b_N	pfam	PF00688	22	211	3	ENSG00000243709
LEFTY1	0	1	226075713	IPR003942	LRDF	prints	PR01427	72	90	2	ENSG00000243709
RP4-559A3.7	0	1	226075711	IPR008927	6-PGluconate_DH_C-like	superfamily	SSF48179	108	199	3	ENSG00000255835
ARV1	1	1	231114948	IPR007290	Arv1	pfam	PF04161	33	223	4	ENSG00000173409
OR2T11	0	1	248789569	IPR000276	GPCR_Rhodpsn	pfam	PF00001	39	287	1	ENSG00000183130
OR2T11	0	1	248789569	IPR017452	GPCR_Rhodpsn_7TM	pfscan	PS50262	38	287	1	ENSG00000183130
OR2T35	0	1	248801690	IPR000276	GPCR_Rhodpsn	pfam	PF00001	43	290	1	ENSG00000177151
OR2T35	0	1	248801690	IPR017452	GPCR_Rhodpsn_7TM	pfscan	PS50262	42	290	1	ENSG00000177151
OR2T35	0	1	248801750	IPR019424	7TM_GPCR_olfarory/Srsx	pfam	PF10320	36	270	1	ENSG00000177151
KRTCAP3	0	2	27665472	IPR020977	Beta-casein-like	pfam	PF12304	19	211	5	ENSG00000157992
RETSAT	1	2	85573135	IPR006076	FAD-dep_OxRdtase	pfam	PF01266	69	360	5	ENSG00000042445
RETSAT	1	2	85578032	IPR002937	Amino_oxidase	pfam	PF01593	78	156	2	ENSG00000042445
RETSAT	1	2	85578834	IPR003953	FAD_bind_dom	pfam	PF00890	69	108	1	ENSG00000042445
RETSAT	1	2	85578834	IPR023753	Pyr_nucl-diS_OxRdtase_FAD/NAD	pfam	PF07992	69	108	1	ENSG00000042445
RETSAT	1	2	85578855	IPR002938	mOase_FAD-bd	pfam	PF01494	68	101	1	ENSG00000042445
IGKV1-6	0	2	89265781	IPR007110	Ig-like_dom	pfscan	PS50835	18	117	2	ENSG00000239855
IGKV3-11	0	2	89326668	IPR007110	Ig-like_dom	pfscan	PS50835	16	115	2	ENSG00000241351
POTEF	0	2	130865631	IPR020683	Ankyrin_rpt-contain_dom	superfamily	SSF48403	137	359	6	ENSG00000196604
POTEF	0	2	130865637	IPR020683	Ankyrin_rpt-contain_dom	pfscan	PS50297	138	357	6	ENSG00000196604
POTEF	0	2	130869576	IPR002110	Ankyrin_rpt	pfscan	PS50088	271	303	1	ENSG00000196604
POTEF	0	2	130869585	IPR002110	Ankyrin_rpt	smart	SM00248	271	300	1	ENSG00000196604
UPP2	1	2	158962633	IPR010059	Uridine_phosphorylase_euk	tigrfam	TIGR01719	86	370	6	ENSG00000007001
UPP2	1	2	158971613	IPR000845	Nucleoside_phosphorylase_d	pfam	PF01048	118	366	5	ENSG00000007001
TTN	0	2	179393375	IPR012337	RNaseH-like_dom	superfamily	SSF53098	429	35701	353	ENSG00000155657
TTN	0	2	179395685	IPR022682	Calpain_domain_III	superfamily	SSF49758	9603	35219	259	ENSG00000155657
TTN	0	2	179413920	IPR003961	Fibronectin_type3	superfamily	SSF49265	30710	30811	2	ENSG00000155657
NEUROD1	0	2	182542520	IPR016637	TF_bHLH_NeuroD	pirsf	PIRSF015618	1	356	1	ENSG00000162992
UGT1A10	0	2	234545244	IPR002213	UDP_glucos_trans	pfam	PF00201	26	522	5	ENSG00000242515
UGT1A9	0	2	234580656	IPR002213	UDP_glucos_trans	pfam	PF00201	26	522	5	ENSG00000241119
UGT1A7	0	2	234590659	IPR002213	UDP_glucos_trans	pfam	PF00201	26	522	5	ENSG00000244122
UGT1A6	0	2	234601729	IPR002213	UDP_glucos_trans	pfam	PF00201	27	524	5	ENSG00000167165
UGT1A5	0	2	234621722	IPR002213	UDP_glucos_trans	pfam	PF00201	29	526	5	ENSG00000240224
UGT1A4	0	2	234627551	IPR002213	UDP_glucos_trans	pfam	PF00201	29	526	5	ENSG00000244474
GFM1	1	3	158363457	IPR004540	Transl_elong_EFG/EF2	tigrfam	TIGR00484	41	734	17	ENSG00000168827
GFM1	1	3	158384135	IPR005517	Transl_elong_EFG/EF2_IV	pfam	PF03764	521	641	4	ENSG00000168827
GFM1	1	3	158384135	IPR020568	Ribosomal_S5_D2-typ_fold	superfamily	SSF54211	521	642	4	ENSG00000168827
